Category: All categories

Week,experiment beauty super saturated: (Worldwide),hydrating serum: (Worldwide),moisturizer: (Worldwide),lip balm: (Worldwide),facial cleanser: (Worldwide)
2021-08-29,0,<1,16,6,2
2021-09-05,0,<1,15,6,2
2021-09-12,0,<1,15,6,2
2021-09-19,0,<1,15,6,2
2021-09-26,0,<1,15,6,1
2021-10-03,0,<1,16,6,1
2021-10-10,0,<1,15,6,1
2021-10-17,0,<1,17,7,1
2021-10-24,0,<1,17,7,1
2021-10-31,0,<1,17,8,2
2021-11-07,0,<1,19,9,2
2021-11-14,0,<1,18,9,2
2021-11-21,0,<1,18,9,2
2021-11-28,0,<1,19,10,2
2021-12-05,0,<1,18,9,2
2021-12-12,0,<1,18,9,2
2021-12-19,0,<1,18,10,2
2021-12-26,0,<1,19,9,2
2022-01-02,0,1,19,9,2
2022-01-09,0,<1,19,9,2
2022-01-16,0,<1,18,8,2
2022-01-23,0,<1,19,8,2
2022-01-30,0,<1,20,8,2
2022-02-06,0,1,19,8,2
2022-02-13,0,1,20,8,2
2022-02-20,0,1,21,8,2
2022-02-27,0,1,21,8,2
2022-03-06,0,1,21,8,2
2022-03-13,0,<1,20,8,2
2022-03-20,0,1,21,8,2
2022-03-27,0,1,21,8,2
2022-04-03,0,<1,21,8,2
2022-04-10,0,1,21,8,2
2022-04-17,0,1,20,7,2
2022-04-24,0,1,21,8,2
2022-05-01,0,1,20,8,2
2022-05-08,0,<1,20,7,2
2022-05-15,0,<1,19,7,1
2022-05-22,0,<1,19,7,1
2022-05-29,0,<1,19,7,2
2022-06-05,0,<1,19,7,2
2022-06-12,0,<1,19,7,1
2022-06-19,0,<1,19,7,2
2022-06-26,0,<1,20,7,2
2022-07-03,0,<1,20,7,2
2022-07-10,0,<1,21,7,2
2022-07-17,0,<1,20,7,2
2022-07-24,0,<1,20,8,2
2022-07-31,0,1,19,7,2
2022-08-07,0,<1,21,8,2
2022-08-14,0,1,20,8,2
2022-08-21,0,<1,20,7,2
2022-08-28,0,<1,19,8,2
2022-09-04,0,<1,19,7,2
2022-09-11,0,<1,19,8,2
2022-09-18,0,<1,19,8,2
2022-09-25,0,<1,19,8,1
2022-10-02,0,<1,19,8,1
2022-10-09,0,<1,20,9,2
2022-10-16,0,<1,20,9,2
2022-10-23,0,<1,22,10,2
2022-10-30,0,<1,23,10,2
2022-11-06,0,<1,22,10,2
2022-11-13,0,1,22,12,2
2022-11-20,0,1,24,13,2
2022-11-27,0,<1,22,12,2
2022-12-04,0,1,21,13,2
2022-12-11,0,1,22,13,2
2022-12-18,0,1,24,14,2
2022-12-25,0,1,27,13,2
2023-01-01,0,1,26,12,2
2023-01-08,0,1,26,12,2
2023-01-15,0,1,26,12,2
2023-01-22,0,1,26,12,2
2023-01-29,0,1,26,12,2
2023-02-05,0,1,28,12,2
2023-02-12,<1,1,26,11,2
2023-02-19,0,1,27,11,2
2023-02-26,0,1,28,11,2
2023-03-05,0,1,27,11,2
2023-03-12,0,1,27,10,2
2023-03-19,0,1,26,11,2
2023-03-26,0,1,26,11,2
2023-04-02,0,1,27,10,2
2023-04-09,0,1,28,10,2
2023-04-16,0,1,28,10,2
2023-04-23,0,1,29,10,2
2023-04-30,0,1,26,10,2
2023-05-07,0,1,26,10,2
2023-05-14,0,1,25,10,2
2023-05-21,0,1,26,10,2
2023-05-28,0,1,27,10,2
2023-06-04,0,1,26,10,2
2023-06-11,0,1,26,9,2
2023-06-18,0,1,27,9,2
2023-06-25,0,1,26,9,2
2023-07-02,0,1,27,10,2
2023-07-09,0,1,26,9,2
2023-07-16,0,1,25,10,2
2023-07-23,0,1,25,10,2
2023-07-30,0,1,26,9,2
2023-08-06,0,1,25,9,2
2023-08-13,0,1,25,9,2
2023-08-20,0,1,24,9,2
2023-08-27,0,1,24,9,2
2023-09-03,0,1,25,9,2
2023-09-10,0,1,23,9,2
2023-09-17,0,<1,22,9,2
2023-09-24,0,1,24,10,2
2023-10-01,0,1,24,11,2
2023-10-08,0,1,25,11,2
2023-10-15,0,1,27,12,2
2023-10-22,0,1,27,12,2
2023-10-29,0,1,27,14,2
2023-11-05,0,1,27,14,2
2023-11-12,0,1,27,14,2
2023-11-19,0,1,29,17,2
2023-11-26,0,1,29,19,2
2023-12-03,0,1,28,19,2
2023-12-10,0,1,29,18,2
2023-12-17,0,1,30,18,2
2023-12-24,0,1,32,18,2
2023-12-31,0,1,32,17,2
2024-01-07,0,1,28,17,2
2024-01-14,0,1,31,16,2
2024-01-21,0,1,30,16,2
2024-01-28,0,1,28,14,2
2024-02-04,0,1,25,15,2
2024-02-11,0,1,27,14,2
2024-02-18,0,1,28,16,2
2024-02-25,0,1,25,14,2
2024-03-03,0,1,27,15,2
2024-03-10,0,1,27,13,2
2024-03-17,0,1,27,13,2
2024-03-24,0,1,29,14,2
2024-03-31,0,1,29,13,2
2024-04-07,0,1,27,12,2
2024-04-14,0,1,29,11,2
2024-04-21,0,1,28,13,2
2024-04-28,0,1,27,13,2
2024-05-05,0,1,25,12,1
2024-05-12,0,1,25,11,2
2024-05-19,0,1,24,11,2
2024-05-26,0,1,24,11,2
2024-06-02,0,1,24,12,2
2024-06-09,0,1,24,11,2
2024-06-16,0,1,25,12,2
2024-06-23,0,1,26,12,2
2024-06-30,0,1,24,11,2
2024-07-07,0,1,25,12,2
2024-07-14,0,1,24,12,2
2024-07-21,0,1,25,12,2
2024-07-28,0,1,23,12,2
2024-08-04,0,1,24,12,2
2024-08-11,0,1,24,12,2
2024-08-18,0,1,24,12,2
2024-08-25,0,1,24,12,2
2024-09-01,0,1,24,12,2
2024-09-08,0,1,22,12,2
2024-09-15,0,1,24,13,2
2024-09-22,0,1,22,11,2
2024-09-29,0,1,23,12,1
2024-10-06,0,1,24,13,2
2024-10-13,0,1,24,13,2
2024-10-20,0,1,25,14,2
2024-10-27,0,1,24,14,2
2024-11-03,0,1,26,16,2
2024-11-10,0,1,28,17,2
2024-11-17,0,1,29,19,2
2024-11-24,0,1,31,23,2
2024-12-01,0,1,31,21,2
2024-12-08,0,1,31,23,2
2024-12-15,0,1,31,22,2
2024-12-22,0,1,32,21,2
2024-12-29,0,1,31,18,2
2025-01-05,0,1,31,17,2
2025-01-12,0,1,29,16,2
2025-01-19,0,1,32,16,2
2025-01-26,0,1,28,16,2
2025-02-02,0,1,28,15,2
2025-02-09,0,1,28,16,2
2025-02-16,0,1,30,15,2
2025-02-23,0,1,30,15,2
2025-03-02,0,1,33,15,2
2025-03-09,0,1,31,14,2
2025-03-16,0,1,32,15,2
2025-03-23,0,1,30,13,2
2025-03-30,0,1,30,14,2
2025-04-06,0,1,30,15,2
2025-04-13,0,1,28,14,2
2025-04-20,0,1,28,13,2
2025-04-27,0,1,29,14,2
2025-05-04,0,1,28,13,2
2025-05-11,0,1,27,13,2
2025-05-18,0,1,26,13,2
2025-05-25,0,1,25,13,2
2025-06-01,0,1,27,13,2
2025-06-08,0,1,27,13,2
2025-06-15,0,1,28,13,2
2025-06-22,0,1,28,12,2
2025-06-29,0,1,28,12,2
2025-07-06,0,1,29,12,2
2025-07-13,0,1,29,14,2
2025-07-20,0,1,31,14,3
2025-07-27,0,1,31,15,3
2025-08-03,0,1,33,16,3
2025-08-10,0,1,33,15,3
2025-08-17,0,1,36,15,3
2025-08-24,0,2,37,16,3
2025-08-31,0,2,45,17,4
2025-09-07,0,1,40,16,3
2025-09-14,0,1,36,15,3
2025-09-21,0,1,37,16,3
2025-09-28,0,1,35,17,3
2025-10-05,0,1,38,16,3
2025-10-12,0,1,37,17,3
2025-10-19,0,1,43,17,3
2025-10-26,0,1,39,17,3
2025-11-02,0,1,42,20,3
2025-11-09,0,1,47,24,3
2025-11-16,0,1,42,23,3
2025-11-23,0,1,46,23,3
2025-11-30,0,1,49,26,3
2025-12-07,0,1,43,24,3
2025-12-14,0,1,39,26,2
2025-12-21,0,1,37,22,2
2025-12-28,0,1,38,19,2
2026-01-04,0,1,36,18,2
2026-01-11,0,1,37,18,2
2026-01-18,0,1,39,17,3
2026-01-25,0,1,41,18,3
2026-02-01,0,1,40,20,3
2026-02-08,0,1,40,20,3
2026-02-15,0,1,41,20,4
2026-02-22,0,1,40,19,3
2026-03-01,0,1,42,17,3
2026-03-08,0,1,46,18,3
2026-03-15,0,2,49,19,3
2026-03-22,0,3,76,23,5
2026-03-29,<1,5,99,27,8
2026-04-05,0,7,100,32,8
2026-04-12,0,7,99,32,8
2026-04-19,0,5,87,27,6
2026-04-26,<1,3,82,24,5
2026-05-03,0,3,100,24,6
2026-05-10,0,4,92,25,6
2026-05-17,0,3,73,23,5
2026-05-24,0,2,63,20,4
2026-05-31,<1,2,66,21,5
2026-06-07,0,3,56,19,5
2026-06-14,0,2,52,17,4
2026-06-21,0,2,56,18,5
2026-06-28,0,2,45,17,3
2026-07-05,0,1,46,16,3
2026-07-12,0,1,40,16,3
2026-07-19,<1,1,43,18,3
2026-07-26,0,1,41,17,3
2026-08-02,0,1,37,15,3
2026-08-09,0,1,39,16,4
2026-08-16,0,2,38,18,4
2026-08-23,<1,1,33,16,3
2026-08-30,<1,1,34,15,3
